wavelength,Red,Green,Blue
400,0.097869664,0.082978725,0.4425532
450,0.03227084,0.07482136,0.802489
500,0.05815603,0.93900174,0.470922
550,0.0691476,0.92659706,0.09680985
600,0.92057276,0.48439717,0.04397163
650,0.79326105,0.1613435,0.057088185
700,0.595742,0.2851037,0.08935902
