wavelength,IDS U3251 Red,IDS U3251 Green,IDS U3251 Blue
400,0.019679158,0.009536516,0.067558387
450,0.003537684,0.024993435,0.137284839
500,0.006593532,0.112091532,0.102962097
550,0.015203164,0.161934637,0.028594855
600,0.168291039,0.063600484,0.016128774
650,0.160719419,0.032804871,0.020938597
700,0.143436898,0.064616774,0.036215911
