wavelength,Red,Green,Blue
400,0.08058215,0.05784641,0.05784641
450,0.02514402,0.05613982,0.68010134
500,0.048217613,0.860194,0.43045002
550,0.067154676,0.91218865,0.10021224
600,1.0034435,0.51997226,0.03857582
650,0.9376619,0.17734222,0.057508554
700,0.73346907,0.3161173,0.08471434
